Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0402_1005Metric",0.398000,0.619796,0.000000,top
"C2","1uF","C_0402_1005Metric",0.616000,0.616796,0.000000,top
"C3","1uF","C_0402_1005Metric",0.645000,0.357796,180.000000,top
"C4","1uF","C_0402_1005Metric",0.845000,0.357796,180.000000,top
"J1","HDMI_Micro-D_Molex_46765-1x01","HDMI_Micro-D_Molex_46765-1x01",0.174000,0.066677,0.000000,top
"MIC1","IM72D128","IM672D128",0.350197,0.487796,-90.000000,top
"MIC2","IM72D128","IM672D128",0.566197,0.487796,-90.000000,top
"MIC3","IM72D128","IM672D128",0.700197,0.487796,90.000000,top
"MIC4","IM72D128","IM672D128",0.862197,0.487796,90.000000,top
"R1","33R","R_0402_1005Metric",0.330000,0.390796,0.000000,top
"R2","33R","R_0402_1005Metric",0.330000,0.344796,0.000000,top
"R3","33R","R_0402_1005Metric",0.531000,0.393796,0.000000,top
"R4","33R","R_0402_1005Metric",0.530000,0.355796,0.000000,top
