Id,Designator,Footprint,Quantity,Designation,Manufacturer,Part Number
1,"R13,R12",R_0603_1608Metric,2,0R,Vishay,CRCW06030000Z0EC
2,"R15,R16",R_0603_1608Metric,2,2.2K,Yageo,RC0603FR-072K2P
3,"R17,R14",DNP,2,DNP,DNP,DNP
4,U2,UQFN-40-1EP_5x5mm_Pitch0.4mm,1,TLV320AIC3206IRSBT,Texas Insturments,TLV320AIC3206IRSBR
5,"C2,C8,C23,C24,C25,C26",C_0402_1005Metric,6,2.2uF,Murata,GRM155Z71A225KE01J
6,"C3,C5,C7,C10,C12,C13",C_0402_1005Metric,6,0.1uF,Yageo,CC0402KRX7R7BB104
7,"C4,C6,C11",C_0402_1005Metric,3,10uF,Samsung,CL05X106MQ5NUNC
8,C9,C_0402_1005Metric,1,1uF,Samsung,CL05B105KQ5QNWC
9,"R2,R4,R5,R6,R7,R9,R10,R3,R18,R11",R_0402_1005Metric,10,33R,Bourns,CR0402-JW-330GLF
10,"R1,R8",R_0402_1005Metric,2,4K7,Yageo,AC0402FR-7W4K7L
11,"P6,P2,P1,P4,P5,P3",Pin_Header_Straight_1x06_Pitch2.54mm,6,CONN_01X06,Consign,Consign
12,U3,SOT-353_SC-70-5,1,74LVC1G66,Nexperia,SN74LVC1G66DCKR
13,J1,SJ-3523-SMT-TR,1,Tympan_SJ-3523-SMT-TR,Same Sky,SJ-3523-SMT-TR
14,J2,SJ-3524-SMT-TR,1,Tympan_SJ-3524-SMT-TR-PI,Same Sky,SJ-3524-SMT-TR-PI
15,J3,HDMI_A_Molex_208658-1001_Horizontal,1,HDMI_A_Molex_208658-1001,Molex,208658-1001
